start_iso,step,case,command,vfc_backends,outdir,wall_s,exit,steps,fallbacks,logfile
2026-07-19T15:20,2d,ot192_vprec_t23_KILLED,"mhd2d_vfc_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","vprec t23 ob; nice19 starved by MPI job; killed@44min",results/mhd/vprec/scan2d/t23,,143,,,logs/mhd/vprec_scan2d/t23.log
2026-07-19T15:20,2d,ot192_vprec_t32_KILLED,"mhd2d_vfc_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","vprec t32 ob; nice19 starved; killed@44min",results/mhd/vprec/scan2d/t32,,143,,,logs/mhd/vprec_scan2d/t32.log
2026-07-19T16:06,2d,ot192_vprec_t23,"mhd2d_vfc_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","vprec t23 ob; default nice",results/mhd/vprec/scan2d/t23,8624,0,1936,13366,logs/mhd/vprec_scan2d/t23.log
2026-07-19T16:06,2d,ot192_vprec_t32,"mhd2d_vfc_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","vprec t32 ob; default nice",results/mhd/vprec/scan2d/t32,8591,0,1936,13372,logs/mhd/vprec_scan2d/t32.log
2026-07-20T14:48:41+01:00,3c-3f,raptor_1d_scan_8runs,"mhd1d_raptor 800 muscl hlld x8 configs","ieee32 regions",results/mhd/raptor,,0,760,0,logs/mhd/raptor_scan/
2026-08-03T08:41:51+01:00,9.9-ext,gpu_fastmath_fp64_identity,"nvcc --use_fast_math fp64: 1D N800 md5 a8e9c1a9 == GPU default; 2D 192x192 md5 d54b0169 == GPU default; fallbacks 13372 same. fp32 fastmath: md5 55a89a8b != default, fallbacks 13358, relL2 vs CPU64 3.85e-6..1.06e-5 (= fp32 class), cmp in logs/mhd/gpu_backend_20260718/cmp_fp32fastmath_vs_cpu64_N192.txt","",bin/mhd2d_glm_gpu_*_fastmath_eps1e-4,,0,,,
2026-08-03T09:59:12+01:00,10.1-ext,gpu_fastmath_dev1_n10,"device1 clean battery: fp64 11.19/fm64 11.18(ratio 0.999)/fp32 5.97/fm32 4.84(ratio 0.809) n=10 each; cross-device ratio check dev0 0.798 vs dev1 0.809; csv fastmath_dev1.csv","CUDA_VISIBLE_DEVICES=1",logs/mhd/perf_baseline/fastmath_dev1.csv,,0,,,
2026-08-03T14:58:57+01:00,10.1-ext,cpu_variants_cerberus3_r3,"cerberus3 (same Xeon 4314, 64c) interleaved O2/O3/Ofast x3 rounds 512^2; per-round O3/O2 0.680/0.874/0.862 med 0.862, Ofast/O2 0.703/0.765/0.853 med 0.765, Ofast/O3 med 0.989 straddles 1.0; NODE NOT IDLE (euler2d ~15c, load1 9.6-12.5), O2 spread 21.7%, all O2 above frozen 1758.6; direction settled, magnitude provisional","ssh cerberus3 detached",logs/mhd/perf_baseline/variants_cerberus3.csv,,0,,,logs/mhd/perf_baseline/variants_cerberus3.log
2026-08-03T17:05,10.1-ext,cpu_variants_quiet_gate_armed,"quiet-gate battery armed on cerberus3: load1<4.0 gate re-checked before every leg, 24h timeout, O2/O3/Ofast x3; supersedes lovelace backup (retired)","flock xy382_cerb_var_quiet",logs/mhd/perf_baseline/variants_cerberus3_quiet.csv,,0,,,logs/mhd/perf_baseline/variants_cerberus3_quiet.log
2026-08-03T17:15,10.1-ext,cpu_variants_final_decision,"user accepted cerberus3 3-round data as final; quiet-gate watcher retired unfired; table rows = ratio-anchored O3 0.862 -> 1516 s 1.16x, Ofast chained via Ofast/O3 0.989 -> 1499 s 1.17x, Ofast==O3 within noise","",logs/mhd/perf_baseline/variants_cerberus3.csv,,0,,,
2026-08-03T17:40,10.1-ext,cpu_variants_overnight_prereg,"PRE-REGISTERED acceptance criterion (declared before data): a round is accepted iff its O2 control leg loop_wall <= 1811 s (frozen baseline 1758.6 +3%); accepted rounds -> median/min-max for -O3/-Ofast rows; if <2 accepted rounds the ratio-anchored provisional rows stand. Overnight battery: 6 rounds max / 5h deadline, launched on cerberus3 AND lovelace (same CPU model), CSV variants_overnight_<host>.csv","",scripts/run_variants_overnight.sh,,0,,,
2026-08-04T03:50,10.1-ext,cpu_variants_overnight_harvest,"cerberus3 4 rounds + lovelace 3 rounds done. lovelace all rejected (O2 gate, load 34-68). cerberus3 rounds 1-2 O2 PASS GATE and reproduce frozen baseline (1744.9/1745.9 vs 1758.6, -0.8%); Ofast clean pair 1480.8/1528.1; BUT O3 legs in those rounds 2128.5/2661.3 SLOWER than O2 - round2 O3 cpu_ratio=0.900 (only sub-1.000 leg of campaign, proven descheduling by bursty neighbour benchmark); round1 O3 ratio 1.000 suspected HT/membw contamination or real effect - UNRESOLVED","",logs/mhd/perf_baseline/variants_overnight_{cerberus3,lovelace}.csv,,0,,,
2026-08-04T03:52,10.1-ext,cpu_variants_confirm_prereg,"PRE-REGISTERED: confirm battery launched on VERIFIED-IDLE cerberus3 (load1=0.05 at launch, ps showed no compute jobs): sequence O3,O2,O3,Ofast,O3. Decision rule declared before data: if idle O3 legs cluster near 1500-1650 -> night O3s were contaminated, O3 row = confirm legs; if they cluster >=2000 -> -O3 genuinely slower than -O2 at idle on this code and yesterdays busy-node O3-fast result was the artefact; O2/Ofast confirm legs join the two existing clean legs for n=3","",logs/mhd/perf_baseline/variants_confirm_cerberus3.csv,,0,,,logs/mhd/perf_baseline/variants_confirm_cerberus3.log
2026-08-04T06:00,10.1-ext,cpu_variants_FINAL,"idle-cerberus3 clean set (all legs ratio>=0.999, load~1): O3 1584.6 [1571.3,1590.4] n=3 -> 1.11x; Ofast 1493.0 [1480.8,1528.1] n=3 -> 1.18x (ranges disjoint from O3: -Ofast DOES add ~6% beyond -O3, contended-data 'Ofast==O3' conclusion retracted); O2 control 1745.9 [1744.9,1749.9] n=3 reproduces frozen lovelace baseline 1758.6 within 0.7%; night O3 legs 2128/2661 confirmed contaminated (idle O3 1571-1590)","",logs/mhd/perf_baseline/variants_{confirm,overnight}_cerberus3.csv,,0,,,
2026-08-04T07:30,10.4-review,raptor_chapter_audit,"full audit of written Sec 10.4 vs archives: Sod column 9/9 recomputed OK (recovery 2.04e-7/cfl 3.26e-9/recon 4.99e-8/hancock 1.02e-7/flux 4.90e-7/update 7.40e-7/all 7.29e-7/keepFU 2.62e-7/native32 2.27e-6); BW singles+combos OK from cmp files; BW all6 HAD NO ARTIFACT -> rerun, max relL2 1.25e-6 vx (thesis 1.3e-6 OK), archived r_all6; Sod baseline r-none + Sod native fp32 800 archived; 2D table 10/10 OK from ot2d_table.txt; ERRORS FOUND: split-CFL sentence quotes vy not max-var (2.2e-9->3.8e-9 rho, 2.1e-7->4.7e-7 rho, chr alone == full cfl 4.74e-7); Table 10.7 ratios from unrounded: Sod 8.8->8.7, BW 43->42, OT 1.3e2 OK; RIKEN-RCCS/RAPTOR URL verified + SC25 paper doi 10.1145/3712285.3759810 arXiv 2507.04647","",results/euler/raptor/{baseline,native_fp32},,0,,,
2026-08-08T11:05,KH-new,kh512_fp32_vs_fp64_t5,"NEW KH test per supervisor: mhd2d_glm_gpu.cu +problem arg (ot|kh), OT path bitwise gate PASSED (data-row md5 d54b0169, fallbacks 13372); KH: dual tanh shear layer rho 1/2 vx -+0.5 P=2.5 Bx=0.2 deterministic vy=0.01 sin(4pi x) Gaussian env, 512^2 t=5 cfl 0.25 muscl hlld eps1e-4 dev1; fp64 54946 steps / fp32 54947; relL2: rho 1.64e-3, p 4.0e-4, E 2.3e-4, vx 9.6e-3, vy 2.05e-2(max), Bx 1.2e-2, By 1.7e-2; max|drho| 5.2e-2; vortex structure visually identical, diffs filamentary; fig kh_fp32_fp64_triptych.png","CUDA_VISIBLE_DEVICES=1",results/mhd/gpu/kh/,,0,,,logs/mhd/kh/
